user,trajectory,rank_dyn,Infeasible@10_dyn,MeanDist@10_dyn,Acc@1_dyn,Recall@10_dyn,NDCG@10_dyn,rank_base,Infeasible@10_base,MeanDist@10_base,Acc@1_base,Recall@10_base,NDCG@10_base,rank_gain,distance_reduction
517,517_19,4670,0.0,0.1397962540496655,0.0,0.0,0.0,220,0.0,3.458639484461206,0.0,0.0,0.0,-4450,3.3188432304115407
816,816_53,4425,0.0,0.985056363815513,0.0,0.0,0.0,92,0.7,18.910724636447856,0.0,0.0,0.0,-4333,17.925668272632343
538,538_37,4671,0.0,1.6615292728258033,0.0,0.0,0.0,348,0.2,5.377362389654204,0.0,0.0,0.0,-4323,3.7158331168284002
801,801_32,4388,0.0,1.8759452874664249,0.0,0.0,0.0,82,0.2,5.931392973612864,0.0,0.0,0.0,-4306,4.055447686146439
816,816_51,4749,0.0,0.985056363815513,0.0,0.0,0.0,484,0.7,19.556864385474302,0.0,0.0,0.0,-4265,18.57180802165879
490,490_34,4620,0.0,0.1382363005610191,0.0,0.0,0.0,476,0.4,10.672403434060932,0.0,0.0,0.0,-4144,10.534167133499913
269,269_56,4576,0.0,1.1450393290627574,0.0,0.0,0.0,505,0.4,10.404439448697556,0.0,0.0,0.0,-4071,9.259400119634797
343,343_42,4089,0.0,1.3395697391867467,0.0,0.0,0.0,104,0.7,17.275148454348134,0.0,0.0,0.0,-3985,15.935578715161387
502,502_37,4014,0.0,0.34891057188492736,0.0,0.0,0.0,138,0.3,6.359442269803922,0.0,0.0,0.0,-3876,6.010531697918995
111,111_51,4366,0.0,0.4416794311520757,0.0,0.0,0.0,598,0.0,4.525894174072544,0.0,0.0,0.0,-3768,4.0842147429204685
641,641_40,3949,0.0,1.7309597453945926,0.0,0.0,0.0,183,0.8,19.40120211419876,0.0,0.0,0.0,-3766,17.670242368804168
624,624_38,3754,0.0,1.8806080689016818,0.0,0.0,0.0,12,0.2,7.798671459009931,0.0,0.0,0.0,-3742,5.91806339010825
536,536_63,4008,0.0,0.39239614922127825,0.0,0.0,0.0,300,0.2,5.646782416691086,0.0,0.0,0.0,-3708,5.254386267469807
