semantic_id,n_pois,poi_ids,categories,coordinates
0-0-16,2,4fb48535e4b02faa1c408950 | 4af21f0bf964a52002e621e3,243 | 157,"40.7219,-73.9581 | 40.7639,-73.9289"
0-0-49,3,4ebc0ac17ee5cb25a5bd2298 | 4ef5f1ecf790731250ba4d8b | 4ccff17b7f56a1439b79caa6,33 | 33 | 138,"40.6763,-73.8707 | 40.8254,-73.9509 | 40.8051,-74.1194"
0-13-15,2,3fd66200f964a52054e91ee3 | 4a7722d4f964a520b2e31fe3,127 | 185,"40.7271,-73.9931 | 40.7163,-74.0503"
0-18-21,2,4c349aee16adc9282262c59c | 4c88ea117223b1f7253e2fa8,103 | 148,"40.8248,-74.1841 | 40.7592,-73.9776"
0-19-52,2,4b195c2ff964a520e8db23e3 | 4b63795ff964a520ad7c2ae3,157 | 48,"40.7555,-73.9740 | 40.7572,-73.8372"
0-20-20,3,4ddee3b91f6e25faf47d4570 | 4ec2947729c25ce5a3371338 | 4b943f56f964a520027134e3,224 | 224 | 237,"40.6829,-73.9642 | 40.7628,-73.9931 | 40.8569,-73.7916"
0-20-33,2,4e1a41d3183880768f53f08c | 4b46a4b3f964a520252626e3,222 | 270,"40.7393,-73.9897 | 40.7317,-73.9892"
0-25-28,3,4ad90280f964a520161721e3 | 4efd1635f790570bcf88cbfd | 4573c09bf964a520893e1fe3,99 | 251 | 152,"40.7583,-73.9880 | 40.7146,-74.0154 | 40.7829,-73.9529"
0-25-55,3,3fd66200f964a5207ae51ee3 | 49e3b1dff964a520b7621fe3 | 4b0afb9ef964a520192b23e3,26 | 24 | 66,"40.7382,-73.9836 | 40.7350,-73.9797 | 40.9182,-74.0754"
0-28-63,2,4f2871d3754a9436fd912c9e | 4dea93547d8b6c7a534360ce,6 | 6,"40.6323,-73.9889 | 40.8986,-73.8478"
0-37-44,2,423e0e80f964a52056201fe3 | 4ba01f4ff964a520cf5b37e3,178 | 116,"40.7475,-73.9979 | 40.9038,-74.0319"
0-37-9,5,4da461ccb521224bd30231ee | 4cc0a3bb31bf952183991ccc | 4eb2e19e7ee5a4e5f542ba31 | 4d9f8d97a428a1cdd92acb04 | 4bf003f3d4f70f47fc5b390f,103 | 144 | 339 | 32 | 242,"40.8343,-73.8870 | 40.7536,-73.9836 | 40.7263,-73.7304 | 40.7230,-73.9959 | 40.7312,-73.9526"
0-38-15,2,3fd66200f964a52065ea1ee3 | 4b91e22af964a52071dd33e3,149 | 110,"40.7275,-73.9848 | 40.5799,-73.8373"
0-4-60,4,4b6225edf964a52086382ae3 | 49c30431f964a5204e561fe3 | 49b6a827f964a5200e531fe3 | 3fd66200f964a520f7e51ee3,156 | 148 | 99 | 263,"40.7625,-73.9719 | 40.7649,-73.9915 | 40.6884,-73.9788 | 40.7293,-73.9918"
0-56-1,2,3fd66200f964a520aee81ee3 | 3fd66200f964a520dde31ee3,224 | 270,"40.7571,-73.9895 | 40.7222,-73.9868"
1-20-52,2,42377700f964a5201b201fe3 | 49f68bb6f964a5204f6c1fe3,43 | 43,"40.7434,-73.9775 | 40.7402,-74.0056"
1-36-13,2,3fd66200f964a520e0e51ee3 | 4bc779d992b376b07cca4f3a,43 | 43,"40.7213,-73.9943 | 40.7223,-73.9833"
1-51-38,2,3fd66200f964a52008f11ee3 | 40c10d00f964a520da001fe3,45 | 263,"40.7730,-73.9159 | 40.7178,-73.9578"
10-1-49,3,4babd4a6f964a52039cd3ae3 | 4d9e4445a603f04db5af3a33 | 4fa12fa6e4b033a85a00f610,299 | 299 | 299,"40.7076,-73.8594 | 40.7118,-73.8599 | 40.7011,-73.8420"
10-1-58,2,4b6c221df964a52070252ce3 | 4d9380f0b327370470399b25,112 | 299,"40.7090,-74.0045 | 40.7027,-73.8548"
