city,method,n_cases,feature_seconds_shared,score_seconds,ms_per_case
NYC,Static-GNPR-SID,1442,5.637408500013407,1.664231100003235,1.1541131067983599
NYC,DynaSID-v8,1442,5.637408500013407,1.4790150999906473,1.025669278772987
NYC,w/o SID history,1442,5.637408500013407,1.1336403000168502,0.7861583217869974
NYC,w/o user recurrence,1442,5.637408500013407,1.2766535999835469,0.8853353675336664
NYC,w/o recent memory,1442,5.637408500013407,1.035607900004834,0.7181746879367781
NYC,w/o POI transition,1442,5.637408500013407,1.2833158999565057,0.8899555478200456
NYC,w/o multi-scale local,1442,5.637408500013407,0.9439657999901101,0.6546226074827394
NYC,w/o spatial mechanisms,1442,5.637408500013407,1.11664819996804,0.7743746185631345
NYC,w/o safety penalty,1442,5.637408500013407,1.3180257000494748,0.9140261442784153
NYC,w/o stay/leave,1442,5.637408500013407,1.0151753000100143,0.7040050624202596
