user,trajectory,rank_dyn,Infeasible@10_dyn,MeanDist@10_dyn,Acc@1_dyn,Recall@10_dyn,NDCG@10_dyn,rank_base,Infeasible@10_base,MeanDist@10_base,Acc@1_base,Recall@10_base,NDCG@10_base,rank_gain,distance_reduction
2199,2199_84,7,0.0,0.06597574141606291,0.0,1.0,0.3333333333333333,7793,0.3,8.61203462422175,0.0,0.0,0.0,7786,8.546058882805687
2202,2202_56,2,0.0,0.7133392664527813,0.0,1.0,0.6309297535714575,7729,0.8,15.694554460625975,0.0,0.0,0.0,7727,14.981215194173194
539,539_40,18,0.0,1.094566696422908,0.0,0.0,0.0,7741,0.3,8.394343246533532,0.0,0.0,0.0,7723,7.299776550110624
151,151_73,10,0.0,0.47850644397334835,0.0,1.0,0.2890648263178879,7722,0.2,6.388760763661771,0.0,0.0,0.0,7712,5.9102543196884225
285,285_46,39,0.0,0.032863927692735294,0.0,0.0,0.0,7742,0.3,6.40585002162089,0.0,0.0,0.0,7703,6.372986093928155
536,536_47,4,0.0,1.4506822511494246,0.0,1.0,0.43067655807339306,7702,0.2,8.062834278996332,0.0,0.0,0.0,7698,6.612152027846908
107,107_51,13,0.0,0.4381946937199411,0.0,0.0,0.0,7708,0.5,8.80329659298687,0.0,0.0,0.0,7695,8.365101899266929
1825,1825_22,7,0.0,0.6897745467560547,0.0,1.0,0.3333333333333333,7702,0.5,8.172996796227675,0.0,0.0,0.0,7695,7.483222249471621
825,825_11,8,0.0,0.6382060780347348,0.0,1.0,0.31546487678572877,7660,0.6,11.378307170370244,0.0,0.0,0.0,7652,10.74010109233551
1857,1857_33,3,0.0,0.17422737967397178,0.0,1.0,0.5,7652,0.9,20.705879841623787,0.0,0.0,0.0,7649,20.531652461949815
373,373_44,23,0.0,0.5004073584168522,0.0,0.0,0.0,7671,0.4,8.391559576029886,0.0,0.0,0.0,7648,7.891152217613033
1439,1439_32,5,0.0,0.07476333156427921,0.0,1.0,0.38685280723454163,7627,0.8,13.960913788354457,0.0,0.0,0.0,7622,13.886150456790178
5,5_49,56,0.0,1.265808520399382,0.0,0.0,0.0,7669,0.2,7.0676929457046835,0.0,0.0,0.0,7613,5.8018844253053015
1431,1431_36,58,0.0,1.167298422357963,0.0,0.0,0.0,7655,0.3,7.5066328165482235,0.0,0.0,0.0,7597,6.33933439419026
137,137_20,3,0.0,0.1170296517728288,0.0,1.0,0.5,7591,0.3,8.556257069604769,0.0,0.0,0.0,7588,8.43922741783194
2192,2192_16,3,0.0,0.6557237494572331,0.0,1.0,0.5,7570,0.2,5.969767736759541,0.0,0.0,0.0,7567,5.314043987302308
1291,1291_35,54,0.0,0.6365498465313426,0.0,0.0,0.0,7616,0.4,7.256979361434636,0.0,0.0,0.0,7562,6.620429514903294
1167,1167_26,176,0.0,0.10489859544307452,0.0,0.0,0.0,7720,0.3,9.11931891971906,0.0,0.0,0.0,7544,9.014420324275985
798,798_62,175,0.0,0.2916206370013407,0.0,0.0,0.0,7716,0.5,10.27262605207768,0.0,0.0,0.0,7541,9.98100541507634
1520,1520_37,150,0.0,0.6839235163480799,0.0,0.0,0.0,7673,0.2,7.553770663108165,0.0,0.0,0.0,7523,6.869847146760085
2063,2063_25,6,0.0,0.2811376879565875,0.0,1.0,0.3562071871080222,7480,0.5,10.872513917090568,0.0,0.0,0.0,7474,10.591376229133981
1168,1168_31,33,0.0,1.9455745870812375,0.0,0.0,0.0,7500,0.5,12.658227069659103,0.0,0.0,0.0,7467,10.712652482577866
1681,1681_73,41,0.0,0.5722479248222224,0.0,0.0,0.0,7508,0.5,8.82814354906814,0.0,0.0,0.0,7467,8.255895624245916
1440,1440_12,24,0.0,0.1630375887807453,0.0,0.0,0.0,7484,0.9,17.983158741290598,0.0,0.0,0.0,7460,17.820121152509852
2189,2189_69,98,0.0,0.21602743338494826,0.0,0.0,0.0,7553,0.5,7.915589951817696,0.0,0.0,0.0,7455,7.6995625184327485
1994,1994_57,7,0.0,0.9614183121496211,0.0,1.0,0.3333333333333333,7462,0.3,6.6441920771905485,0.0,0.0,0.0,7455,5.682773765040928
2249,2249_60,95,0.0,0.27960987202614923,0.0,0.0,0.0,7547,0.4,11.28726263541446,0.0,0.0,0.0,7452,11.007652763388311
695,695_65,8,0.0,0.5129506150230517,0.0,1.0,0.31546487678572877,7408,0.2,5.545856025034092,0.0,0.0,0.0,7400,5.03290541001104
1867,1867_32,336,0.0,2.433892440573508,0.0,0.0,0.0,7729,0.6,11.575061511466501,0.0,0.0,0.0,7393,9.141169070892992
2226,2226_54,190,0.0,0.47795614850928764,0.0,0.0,0.0,7576,0.1,4.984831587041544,0.0,0.0,0.0,7386,4.506875438532257
2175,2175_33,14,0.0,0.5537234207484347,0.0,0.0,0.0,7394,0.2,8.43076496814511,0.0,0.0,0.0,7380,7.877041547396676
1076,1076_59,157,0.0,0.41944014050544354,0.0,0.0,0.0,7520,0.4,7.595850732981207,0.0,0.0,0.0,7363,7.176410592475763
1402,1402_51,4,0.0,0.9164025485155645,0.0,1.0,0.43067655807339306,7365,0.6,10.889679066477523,0.0,0.0,0.0,7361,9.973276517961958
1979,1979_67,125,0.0,0.58986780810608,0.0,0.0,0.0,7473,0.2,6.602400544310671,0.0,0.0,0.0,7348,6.012532736204591
146,146_66,4,0.0,0.3125312909807568,0.0,1.0,0.43067655807339306,7342,0.6,15.903315615779087,0.0,0.0,0.0,7338,15.59078432479833
1041,1041_76,422,0.0,0.5271582108069478,0.0,0.0,0.0,7731,0.4,9.639697850853508,0.0,0.0,0.0,7309,9.112539640046561
1056,1056_68,167,0.0,0.8607692284320072,0.0,0.0,0.0,7466,0.6,10.592874087033422,0.0,0.0,0.0,7299,9.732104858601415
1921,1921_63,127,0.0,0.1943838094935409,0.0,0.0,0.0,7425,0.2,7.068888082670379,0.0,0.0,0.0,7298,6.874504273176838
136,136_80,31,0.0,0.3593810434061903,0.0,0.0,0.0,7291,0.2,5.100141346613233,0.0,0.0,0.0,7260,4.7407603032070424
1499,1499_40,23,0.0,0.7371660881135862,0.0,0.0,0.0,7280,0.2,7.25843132573152,0.0,0.0,0.0,7257,6.521265237617934
1681,1681_77,267,0.0,0.6647880302722113,0.0,0.0,0.0,7523,0.5,9.057511740127719,0.0,0.0,0.0,7256,8.392723709855508
545,545_77,36,0.0,0.23911401619506778,0.0,0.0,0.0,7280,0.5,9.389119583041957,0.0,0.0,0.0,7244,9.15000556684689
1271,1271_42,60,0.0,1.4701738551700205,0.0,0.0,0.0,7287,0.2,7.972488155447763,0.0,0.0,0.0,7227,6.502314300277742
1839,1839_68,4,0.0,0.5789795116263761,0.0,1.0,0.43067655807339306,7231,0.1,5.680611382761244,0.0,0.0,0.0,7227,5.101631871134868
2030,2030_22,9,0.0,0.21388796326644277,0.0,1.0,0.3010299956639812,7231,0.5,13.81315337991067,0.0,0.0,0.0,7222,13.599265416644227
504,504_70,2,0.0,0.3386348364185628,0.0,1.0,0.6309297535714575,7213,0.4,8.386425714178149,0.0,0.0,0.0,7211,8.047790877759585
2218,2218_63,13,0.0,0.3993438947778016,0.0,0.0,0.0,7210,0.9,14.790712142581375,0.0,0.0,0.0,7197,14.391368247803573
136,136_77,135,0.0,0.28864793237659403,0.0,0.0,0.0,7329,0.4,9.045962690221447,0.0,0.0,0.0,7194,8.757314757844853
1568,1568_24,11,0.0,1.2367482507372674,0.0,0.0,0.0,7192,0.6,10.281060333980992,0.0,0.0,0.0,7181,9.044312083243724
