user,trajectory,rank_dyn,Infeasible@10_dyn,MeanDist@10_dyn,Acc@1_dyn,Recall@10_dyn,NDCG@10_dyn,rank_base,Infeasible@10_base,MeanDist@10_base,Acc@1_base,Recall@10_base,NDCG@10_base,rank_gain,distance_reduction
18,18_59,7345,0.0,0.8242065002424326,0.0,0.0,0.0,565,0.3,7.77749160526651,0.0,0.0,0.0,-6780,6.953285105024078
1495,1495_39,7041,0.0,0.1849887437338129,0.0,0.0,0.0,266,0.3,8.16605619814256,0.0,0.0,0.0,-6775,7.9810674544087465
39,39_38,6819,0.0,0.8681913518859513,0.0,0.0,0.0,228,0.6,10.705481530019092,0.0,0.0,0.0,-6591,9.837290178133141
40,40_41,7506,0.0,0.5949510437820696,0.0,0.0,0.0,960,0.0,3.9514248417567748,0.0,0.0,0.0,-6546,3.3564737979747052
911,911_15,6544,0.0,1.466966357139523,0.0,0.0,0.0,198,0.2,5.040177826598759,0.0,0.0,0.0,-6346,3.573211469459236
1218,1218_44,6648,0.0,0.15876656733881198,0.0,0.0,0.0,303,0.4,9.220487388556164,0.0,0.0,0.0,-6345,9.061720821217351
1020,1020_57,7270,0.0,0.19370293940192163,0.0,0.0,0.0,931,0.2,7.3407325398969565,0.0,0.0,0.0,-6339,7.147029600495035
1488,1488_26,7504,0.0,0.3775531614751829,0.0,0.0,0.0,1197,0.1,6.009025153373489,0.0,0.0,0.0,-6307,5.631471991898306
449,449_67,6992,0.0,0.06897019109929953,0.0,0.0,0.0,718,0.4,7.771733280356008,0.0,0.0,0.0,-6274,7.702763089256709
1857,1857_32,7198,0.0,0.13678165701153017,0.0,0.0,0.0,932,0.4,10.455973312083305,0.0,0.0,0.0,-6266,10.319191655071775
566,566_55,7732,0.0,1.4191441027212646,0.0,0.0,0.0,1567,0.3,8.2880604724765,0.0,0.0,0.0,-6165,6.868916369755236
1243,1243_79,6137,0.0,0.4922564270995672,0.0,0.0,0.0,101,0.4,8.58330096805709,0.0,0.0,0.0,-6036,8.091044540957522
2004,2004_69,6868,0.0,0.3959987088419944,0.0,0.0,0.0,908,0.2,6.086616094110585,0.0,0.0,0.0,-5960,5.690617385268591
1218,1218_47,6209,0.0,0.034828165707531424,0.0,0.0,0.0,262,0.3,7.497237348561695,0.0,0.0,0.0,-5947,7.462409182854164
1950,1950_53,6341,0.0,0.03522178778075294,0.0,0.0,0.0,439,0.2,7.159072830894163,0.0,0.0,0.0,-5902,7.123851043113411
145,145_20,6927,0.0,0.22022318396117227,0.0,0.0,0.0,1048,0.8,12.155504231960379,0.0,0.0,0.0,-5879,11.935281047999206
339,339_67,6722,0.0,0.02002599251425181,0.0,0.0,0.0,851,0.2,7.159072830894165,0.0,0.0,0.0,-5871,7.1390468383799135
1584,1584_52,5950,0.0,0.0571480997933167,0.0,0.0,0.0,83,0.4,8.896212488164755,0.0,0.0,0.0,-5867,8.839064388371439
1653,1653_72,5930,0.0,0.7800849155625955,0.0,0.0,0.0,73,0.7,10.975607498216883,0.0,0.0,0.0,-5857,10.195522582654288
1946,1946_48,6807,0.0,0.816250232341481,0.0,0.0,0.0,1006,0.3,6.38976666428673,0.0,0.0,0.0,-5801,5.573516431945249
1788,1788_45,5896,0.0,0.4919912344591711,0.0,0.0,0.0,145,0.2,8.15306174251105,0.0,0.0,0.0,-5751,7.661070508051878
1456,1456_66,6497,0.0,0.45134217516436276,0.0,0.0,0.0,793,0.2,6.182594738899421,0.0,0.0,0.0,-5704,5.731252563735058
1201,1201_49,6995,0.0,1.2831102409442952,0.0,0.0,0.0,1414,0.3,7.840137364758593,0.0,0.0,0.0,-5581,6.557027123814297
733,733_40,5757,0.0,0.17339702030371898,0.0,0.0,0.0,222,0.8,16.935351192641868,0.0,0.0,0.0,-5535,16.76195417233815
989,989_46,5533,0.0,1.1545889047439872,0.0,0.0,0.0,3,0.2,6.147158009759658,0.0,1.0,0.5,-5530,4.99256910501567
1013,1013_73,6716,0.0,1.2787788463117151,0.0,0.0,0.0,1320,0.1,5.782572597019637,0.0,0.0,0.0,-5396,4.503793750707922
382,382_33,5817,0.0,0.9457167351241452,0.0,0.0,0.0,433,0.2,6.6599543973412665,0.0,0.0,0.0,-5384,5.714237662217121
1829,1829_17,6372,0.0,0.07837285926755504,0.0,0.0,0.0,1002,0.1,5.6860284260852385,0.0,0.0,0.0,-5370,5.607655566817684
1587,1587_71,6077,0.0,1.3327672234200523,0.0,0.0,0.0,790,0.4,9.51134007688424,0.0,0.0,0.0,-5287,8.178572853464187
742,742_26,5277,0.0,0.14132531115179275,0.0,0.0,0.0,5,0.2,7.630897338395149,0.0,1.0,0.38685280723454163,-5272,7.489572027243357
2026,2026_77,5180,0.0,0.03085117676442939,0.0,0.0,0.0,4,0.4,9.829772373399452,0.0,1.0,0.43067655807339306,-5176,9.798921196635023
1122,1122_46,6015,0.0,0.3879313997455206,0.0,0.0,0.0,853,0.2,6.360473486285403,0.0,0.0,0.0,-5162,5.972542086539883
2022,2022_75,6114,0.0,1.0301150344614292,0.0,0.0,0.0,970,0.3,8.830727063086519,0.0,0.0,0.0,-5144,7.800612028625089
784,784_60,5400,0.0,0.5709792089389907,0.0,0.0,0.0,296,0.7,10.817355256279967,0.0,0.0,0.0,-5104,10.246376047340977
10,10_32,5150,0.0,0.04472229148691279,0.0,0.0,0.0,52,0.9,17.86198893206844,0.0,0.0,0.0,-5098,17.817266640581526
327,327_78,6817,0.0,0.27543651872404784,0.0,0.0,0.0,1790,0.0,3.458187117807306,0.0,0.0,0.0,-5027,3.182750599083258
926,926_39,5105,0.0,0.04780185803821554,0.0,0.0,0.0,87,0.7,10.412383729934364,0.0,0.0,0.0,-5018,10.364581871896148
21,21_75,5160,0.0,2.042492001549987,0.0,0.0,0.0,183,0.8,18.323584892839737,0.0,0.0,0.0,-4977,16.28109289128975
1431,1431_33,5501,0.0,0.8621744812188641,0.0,0.0,0.0,547,0.2,6.776293744951713,0.0,0.0,0.0,-4954,5.914119263732848
