semantic_id,n_pois,poi_ids,categories,coordinates
10-10-50,2,4b77f0d3f964a52088af2ee3 | 4b7b2ca3f964a520ec552fe3,236 | 336,"35.7015,139.7521 | 35.5946,139.7607"
10-13-19,2,4b5cd940f964a520314729e3 | 4b0587b4f964a52091a022e3,320 | 369,"35.6632,139.7596 | 35.6625,139.6979"
10-13-46,3,4baec495f964a52060d63be3 | 4df9e00a6284226247b47bb8 | 4b63147cf964a52085612ae3,236 | 313 | 33,"35.7076,139.7314 | 35.5473,139.7200 | 35.5809,139.6612"
10-19-42,2,4b7f9273f964a520f23430e3 | 4e510fcc52b1e893ad713127,33 | 320,"35.6709,139.4765 | 35.8101,139.7628"
10-19-46,3,4b8e1309f964a520981733e3 | 4c943e7c94a0236ae9298b12 | 4dfb464b149557de37ac8aff,65 | 150 | 236,"35.5545,139.6473 | 35.7038,139.6656 | 35.6568,139.7530"
10-2-14,3,4b5bd134f964a520e31729e3 | 4ba5d3eef964a5207c2439e3 | 4b76205cf964a520793e2ee3,236 | 88 | 249,"35.6336,139.5346 | 35.6556,139.9015 | 35.5546,139.5782"
10-2-16,2,4bbd865a8ec3d13a98331c28 | 4b5d9bc4f964a5204f6329e3,71 | 236,"35.7082,139.4885 | 35.5542,139.6467"
10-2-19,3,4b5d1cc4f964a5202f5329e3 | 4ce49f0ce860a14381388ea1 | 4b921313f964a52019e633e3,68 | 109 | 99,"35.6276,139.7420 | 35.6375,139.7385 | 35.6748,139.7692"
10-2-3,5,4f8e6173108190ace5425a50 | 4b058799f964a520959b22e3 | 4d230ddbf7a9a1437da9449f | 4e6870fbb3ad5d91975096c8 | 4cb24ddebabebfb7ca24a4ab,200 | 291 | 31 | 322 | 194,"35.6976,139.7647 | 35.6706,139.7278 | 35.6421,139.6731 | 35.6647,139.7637 | 35.7445,139.5816"
10-2-35,2,4c138ab87f7f2d7f8f2ddf68 | 4b6e3423f964a52072b12ce3,109 | 179,"35.7098,139.7732 | 35.6789,139.5260"
10-2-46,2,4b68081ef964a5209c642be3 | 4becc63fbbe62d7f2d667f2b,236 | 236,"35.6979,139.7573 | 35.5801,139.6419"
10-2-57,2,4f509953e4b044218ffe9b9f | 4e3a6ebb2271ead2c0efd920,42 | 155,"35.6953,139.7571 | 35.6704,139.7071"
10-22-21,2,4b7225f2f964a5202e712de3 | 4b7eb605f964a52083fa2fe3,102 | 320,"35.7121,139.7711 | 35.7229,139.7538"
10-24-46,2,4bdcf633edf50f4778dcc834 | 4b679b25f964a52065572be3,99 | 236,"35.6566,139.7620 | 35.6999,139.7532"
10-25-46,2,4b56ec67f964a5206b1f28e3 | 509b2c80498e0d95e9da4549,150 | 33,"35.7053,139.6495 | 35.7007,139.7729"
10-25-9,2,4b0dc8dff964a520175023e3 | 4d64ee49072a6ea89c2ff74d,249 | 289,"35.6653,139.7609 | 35.6950,139.7488"
10-28-4,2,4bef4875d1b7d13aa89bcdec | 4e4d9eaa2271a1bdc3c59809,289 | 249,"35.6434,139.8099 | 35.7068,139.7606"
10-3-35,3,4ee8aab693ad8b68e9b0c649 | 4b6d650cf964a520a7742ce3 | 4b98d23bf964a5200d5135e3,47 | 306 | 109,"35.6644,139.7352 | 35.6590,139.7012 | 35.6661,139.6406"
10-33-46,2,4b62d4f5f964a52084542ae3 | 4b58348ff964a520fb4d28e3,64 | 195,"35.6085,139.6685 | 35.6046,139.6832"
10-33-57,3,4b8fa791f964a5209f5b33e3 | 4b5fb0c4f964a52059c829e3 | 500a467fe4b02a36e9c0a71b,236 | 33 | 152,"35.6995,139.7649 | 35.6616,139.7025 | 35.7153,139.8242"
