POI_id,latitude,longitude,category,visits,sid_1,sid_2,sid_3,semantic_id
49bbd6c0f964a520f4531fe3,40.719810375488535,-74.00258103213994,75,24,9,21,56,<a_9><b_21><c_56>
4a43c0aef964a520c6a61fe3,40.60679958140643,-74.04416981025437,252,97,6,32,22,<a_6><b_32><c_22>
4c5cc7b485a1e21e00d35711,40.716161684843215,-73.88307005845945,6,96,57,60,21,<a_57><b_60><c_21>
4ce1863bc4f6a35d8bd2db6c,40.61915106755737,-74.03588760058483,6,16,43,58,60,<a_43><b_58><c_60>
4c0ab56f7e3fc9288c1df482,40.741190550641626,-73.98966309787518,362,38,63,46,49,<a_63><b_46><c_49>
4c00297392a6c9280cc243e2,40.86198150306815,-74.04790453737951,70,37,38,34,10,<a_38><b_34><c_10>
4b9830a5f964a520c73235e3,40.82678953781387,-73.94950923509141,48,27,59,47,61,<a_59><b_47><c_61>
4ba8a9a9f964a5206ee539e3,40.88302032878746,-74.0758752822876,72,68,2,45,51,<a_2><b_45><c_51>
4c955b3558d4b60c06d03129,40.76067264603736,-74.00367709397945,87,12,23,5,12,<a_23><b_5><c_12>
4ba0e0edf964a520138437e3,40.736676,-73.98891,69,60,59,30,26,<a_59><b_30><c_26>
4a676ff4f964a5206fc91fe3,40.655535144394925,-74.00862937888984,69,36,63,34,57,<a_63><b_34><c_57>
4c5ef77bfff99c74eda954d3,40.74186151409088,-73.98943362953369,48,100,22,16,7,<a_22><b_16><c_7>
4bcde547511f95210d62b5c7,40.75094552248844,-74.00563392176072,69,29,33,7,39,<a_33><b_7><c_39>
3fd66200f964a52035e41ee3,40.73169799836348,-73.98922693741638,263,101,57,51,20,<a_57><b_51><c_20>
4b3a8e5df964a520d86925e3,40.82650767315227,-73.95039081573486,307,95,49,46,13,<a_49><b_46><c_13>
4b55ec3bf964a520aaf627e3,40.86283581665962,-74.19723987579346,205,29,43,18,19,<a_43><b_18><c_19>
40b68100f964a5207d001fe3,40.74218830848454,-73.98792418909154,139,302,22,11,49,<a_22><b_11><c_49>
4bf5cedf4d5f20a1833d98fe,40.90105786688402,-74.1507625579834,299,18,58,10,47,<a_58><b_10><c_47>
40e74880f964a520150a1fe3,40.74140750304299,-73.98843795061111,148,42,22,15,63,<a_22><b_15><c_63>
4ad607d3f964a520a10421e3,40.77807780906056,-73.95449161535045,21,10,3,47,46,<a_3><b_47><c_46>
49b15042f964a520d4521fe3,40.727612,-74.007306,253,10,37,45,51,<a_37><b_45><c_51>
4ca66eec5a1e952129d98ace,40.77843896961532,-73.95451457533076,7,11,27,6,51,<a_27><b_6><c_51>
4c79b79381bca093e689fe14,40.92431190858341,-73.99688829591487,369,43,8,29,53,<a_8><b_29><c_53>
447bf8f1f964a520ec331fe3,40.76391920774746,-73.9731399591735,66,84,47,18,19,<a_47><b_18><c_19>
4dbdebed6e810768bf82ad95,40.80396497665877,-74.00513467434556,232,14,7,2,60,<a_7><b_2><c_60>
4e79392ce4cdb158f1cf4b75,40.80204208379726,-74.00063278107605,6,68,57,7,60,<a_57><b_7><c_60>
4bdb4bf54b1f952169ac670b,40.73971082815715,-73.9825179760415,48,9,11,19,17,<a_11><b_19><c_17>
4b093cd0f964a520db1423e3,40.75099579556285,-73.99068832397461,307,23,45,39,60,<a_45><b_39><c_60>
4c17d9974ff90f47a9890d49,40.74710920467287,-74.15280867121942,249,65,47,29,29,<a_47><b_29><c_29>
4ab11744f964a520046820e3,40.75110145517336,-73.98130059242249,110,9,37,61,20,<a_37><b_61><c_20>
4b298573f964a52050a024e3,40.69541297284045,-73.98732159326325,208,12,3,45,5,<a_3><b_45><c_5>
4c1d0f98c09ed13ad4c5828e,40.80463955350257,-73.93786213355276,83,12,7,7,4,<a_7><b_7><c_4>
4b7c9fe1f964a520559e2fe3,40.71589126048056,-74.03416156768799,305,22,60,45,58,<a_60><b_45><c_58>
4a7a0832f964a5203ce81fe3,40.745245,-73.982692,224,14,27,16,24,<a_27><b_16><c_24>
4e5dbf1e1f6e3022a71c242b,40.91220464465255,-74.01238511084367,6,24,43,38,45,<a_43><b_38><c_45>
4c56f9ad30d82d7f3cbcd862,40.746976519995165,-73.98325258717293,155,21,38,58,26,<a_38><b_58><c_26>
4d4de33cd6f3224bca73a1a6,40.91192343390238,-73.78237724304199,138,71,48,46,53,<a_48><b_46><c_53>
4c62bfd0e1621b8dfe232453,40.75951304689015,-73.83147239685059,369,38,47,3,42,<a_47><b_3><c_42>
4b8d2387f964a520dbe932e3,40.72703111110143,-74.0348482131958,305,33,6,7,49,<a_6><b_7><c_49>
4c1a2bbf838020a1adc4e661,40.75141159824277,-73.97994107572931,69,39,63,32,35,<a_63><b_32><c_35>
4af42a00f964a52055f021e3,40.75539131865308,-73.974259146779,69,10,62,0,2,<a_62><b_0><c_2>
4b565676f964a520120c28e3,40.725891,-73.79143081000001,232,8,37,45,51,<a_37><b_45><c_51>
4c3b49c54565e21eb775566a,40.715280885129175,-74.03639537384788,118,21,5,44,45,<a_5><b_44><c_45>
462a6065f964a520d9451fe3,40.75821277375464,-73.98682594299316,118,15,43,39,48,<a_43><b_39><c_48>
4a8ae51ef964a520c10a20e3,40.74546290596493,-73.99098305111815,253,3,51,47,48,<a_51><b_47><c_48>
45c76421f964a52066421fe3,40.744044646949455,-73.98373696088365,253,14,16,46,52,<a_16><b_46><c_52>
4cd1a3d601eaf04db979bf5d,40.67755881343268,-73.74452479795166,48,18,8,29,24,<a_8><b_29><c_24>
4c3a1d102c8020a1f9d58d00,40.68006413170521,-73.76161876452181,48,22,18,56,54,<a_18><b_56><c_54>
4bbfcfd3461576b0d4487932,40.68083,-73.76331,251,16,30,44,40,<a_30><b_44><c_40>
4ee6e1970e61681b98844283,40.7462390539103,-73.98058960845994,51,13,16,28,35,<a_16><b_28><c_35>
4c0b32d37e3fc928650bf582,40.77352187640244,-73.95678520202637,369,27,47,61,26,<a_47><b_61><c_26>
4cd544d894848cfa6a0de5b1,40.824777351716186,-73.88307005845945,6,12,13,41,41,<a_13><b_41><c_41>
43695300f964a5208c291fe3,40.74828059076867,-73.98556262254715,91,92,49,63,21,<a_49><b_63><c_21>
4b4b7979f964a520249d26e3,40.74837050671544,-73.98568868637085,187,26,38,46,53,<a_38><b_46><c_53>
4df53b7bd4c01ff6b2f262ec,40.94175914870915,-74.01238511084367,6,139,49,6,23,<a_49><b_6><c_23>
4eb4ce184901cef9d84576f8,40.61848447230498,-73.75366953292578,6,49,54,21,22,<a_54><b_21><c_22>
4c81086adc018cfaa883c16c,40.70242744248474,-73.99048447608948,69,30,63,47,58,<a_63><b_47><c_58>
40abf500f964a52035f31ee3,40.73083612189599,-73.99764060974121,139,77,22,54,26,<a_22><b_54><c_26>
4caf3aa3b4b0a35db3273fce,40.730769,-73.9974505,138,9,37,59,4,<a_37><b_59><c_4>
4f67c6d5e4b0e34eb630101a,40.75568181015381,-73.88307005845945,6,36,49,22,4,<a_49><b_22><c_4>
4459d2f1f964a520d7321fe3,40.68968493541091,-74.17938709259033,277,72,6,18,33,<a_6><b_18><c_33>
4a737bf8f964a52091dc1fe3,40.707149,-73.99057,81,351,6,7,36,<a_6><b_7><c_36>
49c27575f964a520f1551fe3,40.73652697126574,-73.9905595779419,302,48,2,39,51,<a_2><b_39><c_51>
41102700f964a520d60b1fe3,40.75061379403183,-73.98856401443481,294,92,22,44,3,<a_22><b_44><c_3>
4c6b02f46d390f4717d3099a,40.73561850046403,-73.99721413850784,187,11,2,46,39,<a_2><b_46><c_39>
4c4dcaa49efabe9a41cc1569,40.65556631523727,-74.0083941052192,69,31,33,19,58,<a_33><b_19><c_58>
4bc7afbc14d7952160ee67e9,40.74434648174866,-73.99543065278503,317,9,52,5,42,<a_52><b_5><c_42>
49e7c7c6f964a5201b651fe3,40.71110949732056,-74.00504350662231,208,38,59,63,6,<a_59><b_63><c_6>
4c922cde7f3b8cfadacca21e,40.95158380800399,-74.08855676651001,205,28,13,19,20,<a_13><b_19><c_20>
4ddfe92e8877e0877e661125,40.89621269901943,-73.87670483270945,138,60,49,12,19,<a_49><b_12><c_19>
4a888403f964a520bb0620e3,40.738949,-73.989828,156,52,60,14,7,<a_60><b_14><c_7>
4ab66100f964a520ce7620e3,40.63904061589954,-73.99794101715088,185,14,36,19,46,<a_36><b_19><c_46>
4d0a9b2f27f8a35dd0432713,40.747048,-74.15257036685944,120,18,10,31,30,<a_10><b_31><c_30>
4e555a38b0fb1e5686bd6646,40.80050589400566,-74.20418389625108,368,24,11,39,59,<a_11><b_39><c_59>
4d983945b7bf2c0febf5ea2d,40.826702515225065,-73.95129203796387,309,15,7,17,27,<a_7><b_17><c_27>
4f3ceffde4b0811223a089bb,40.76050365575564,-73.94384937087554,347,15,58,59,36,<a_58><b_59><c_36>
4e6f593d88779c905de9cfa7,40.791172,-73.944024,103,23,55,46,47,<a_55><b_46><c_47>
4b2da0ddf964a520c9d924e3,40.78911988122579,-73.97335052490234,369,9,2,52,39,<a_2><b_52><c_39>
42829c80f964a5206a221fe3,40.75280620914171,-73.97717535495758,79,519,22,63,62,<a_22><b_63><c_62>
4b93d226f964a520625334e3,40.664795945581965,-73.92295351101858,79,35,49,63,9,<a_49><b_63><c_9>
4df2f04dd4c01ff6b2eaca87,40.66421141550086,-73.91474954903893,138,44,49,60,42,<a_49><b_60><c_42>
4b8fbf80f964a5202a6033e3,40.841927,-73.873511,307,34,57,39,37,<a_57><b_39><c_37>
43a52546f964a520532c1fe3,40.645089355976346,-73.7845230102539,277,243,6,52,14,<a_6><b_52><c_14>
4c23e755f7ced13a3dfd216d,40.83260433886108,-73.86046496281456,48,25,27,44,27,<a_27><b_44><c_27>
4a6ddef7f964a52033d31fe3,40.83487295164295,-74.22620648606099,156,23,36,61,53,<a_36><b_61><c_53>
4eda1085f5b921398839dd94,40.73569746375886,-73.81249842275241,6,30,49,47,17,<a_49><b_47><c_17>
4d262ad8b7d5236a10401009,40.70024353438826,-73.9411211013794,307,19,47,63,61,<a_47><b_63><c_61>
